"Id","Name","flag"
"70452fd9-b35e-4549-bbeb-67526f269632","AS - DMWR","as"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK - MMR","ck"
"1e5108a7-ed1e-48f1-afdc-494de3582a0a","FJ - Ministry of Fisheries - Central","fj"
"162417ed-713b-4aaf-a457-9a9e9edda7b3","FJ - Ministry of Fisheries - Eastern","fj"
"5be98ab0-b8b0-4532-9d80-f93309ff5f19","FJ - Ministry of Fisheries - IFMD","fj"
"800666cb-ce4f-4332-bb1e-2e0d6e77100e","FJ - Ministry of Fisheries - Northern","fj"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ - Ministry of Fisheries - Research Unit","fj"
"55a2b6c9-4e03-40dd-9125-2d9dfa723c68","FM - KSA - DREA","fm"
"8a81eb09-66ab-430c-aa45-5f1b7b1b102c","FM - NORMA","fm"
"0c610d44-a32d-42be-8462-bb1cf545e35c","FM - PNI - OFA","fm"
"2570abff-a286-4d02-b19d-ed712847b3f2","FM - Resources & Development","fm"
"c61ff7ee-c678-4cc2-a73e-4f15aa2fb25e","FM - TKK - Marine Resources","fm"
"f20940f0-9ed2-47e0-ba3d-e69200df4879","FM - YAP - Resources & Development","fm"
"a89808c3-7402-44f9-a336-632c3d69cdb2","GU - Dept of Agriculture","gu"
"ac18d487-1c55-4e0f-8d6c-81856abe5ff7","KI - MFMRD","ki"
"9d293f89-c2b8-43ba-a8e0-f09b42750035","MH - MIMRA","mh"
"7e197247-1584-4058-bf8c-e6adfa480d22","MP - Dept of Natural Resources","mp"
"5022322c-a07b-4798-bdc8-8b99481c605f","NC - Affaires Maritimes","nc"
"86d69c90-3225-4fed-8d2c-1da71e144206","NC - PI - Pêches (DEI)","nc"
"e4b72199-002a-4599-bed7-7bec1a669b63","NC - PN - Pêches (DDEE)","nc"
"104599fd-12a1-4662-ab8a-a4e0d9593763","NC - PS - DDDT","nc"
"f9ccafc4-ef7a-4e77-a415-039bdaeb6e00","NR - NFMRA","nr"
"7a5a0ce6-4f9b-4c27-ae9b-41f08a26aef4","NU - DAFF","nu"
"89e55c54-28f1-47d9-bc47-2500932f8a7d","PF - DRM","pf"
"f54cfbe4-ac39-4383-8c87-1b5778741de5","PG - NFA","pg"
"90324f82-a09f-4b37-8d3e-7de58b1db450","PW - BoF","pw"
"0a4d77c3-245d-4566-acb0-1e83af3b26a9","SB - Ministry of Fisheries","sb"
"caaf8972-5110-4f56-8a7b-4f0dd6e1bb95","TK - Dept Natural Resources","tk"
"52d0545d-afc7-4a13-b1e4-74b141c7f8c7","TO - MAFF","to"
"d320cc8e-9e53-471f-966c-e230a335926a","TV - Ministry of Natural Resources","tv"
"12ffa5a5-3e2f-4d68-b194-53c8b07aea0a","VU - Vanuatu Fisheries Dept (MALFFB)","vu"
"925d27a1-0a52-4f94-9d24-a75d892cfe3d","WF - Service de la pêche","wf"
"91f380c4-bb73-4ae8-9e95-892435d36739","WS - MAF","ws"
